"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","logic_source_for_dispersal_distance2","Notes","genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference","is.nocturnal","is.nocturnal_source","mean_yearly_max_temp","experienced_mean_yearly_max_temp"
10,"Acipenser brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_NA_-66.13",10,45.3,-66.13,"","Acipenser","brevirostrum","Carter's Point Kingston New Brunswick Canada",NA,27.6,"tmax",0.35,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Acipenser","brevirostrum","1460","IUCN, 2020","730","IUCN, 2020","","10-100","Quattro et al., 2002;NatureServe, 2020",143,"Froese & Pauly, 2000","50","Froese & Pauly, 2000","50","Froese & Pauly, 2000","Y","","NatureServe, 2020","migratory","IUCN, 2020","Spring-Fall","Spring-Fall","IUCN, 2020;NatureServe, 2020","3.14-314.16","Kynard et al., 2009","Nikki","25125","IUCN, 2020",NA,NA,13.1849609375,4.75694080699576
89,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Martin 1988","Comte","Ambassis ambassis_-30.86_NA_25.14",24,-30.86,25.14,"","Ambassis","ambassis","South Africa",14,36.5,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985",NA,NA,27.1626324740323,27.1626324740323
90,"Ambassis ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_NA_79.76",20,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish India",7,35.49,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",15,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985",NA,NA,34.0238628040661,34.0238628040661
159,"Ameiurus melas","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Spotila et al. 1979","Comte","Ameiurus melas_42.08_NA_-81.34",23,42.08,-81.34,"","Ameiurus","melas","Lake Erie",NA,35,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ameiurus","melas","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",66,"Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","3650","Froese & Pauly, 2000;Meyers et al., 2015",NA,NA,24.8923674149947,24.8923674149947
160,"Ameiurus melas","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Beitinger et al. 2000","Comte","Ameiurus melas_39.016739_NA_-90.992256",26,39.016739,-90.992256,"inferred","Ameiurus","melas","Cuivre River, Missouri, United States",NA,38.1,"tmax",0.39,"SD",7,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ameiurus","melas","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",66,"Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","3650","Froese & Pauly, 2000;Meyers et al., 2015",NA,NA,25.8512047507546,25.8512047507546
163,"Ameiurus natalis","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Spotila et al. 1979","Comte","Ameiurus natalis_42.08_NA_-81.34",22.2,42.08,-81.34,"","Ameiurus","natalis","Lake Erie",NA,36.4,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ameiurus","natalis","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",60,"Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","Y","","Greenbank, 1956","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","2555","Meyers et al., 2015",NA,NA,24.8923674149947,24.8923674149947
167,"Ameiurus natalis","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Beitinger et al. 2000","Comte","Ameiurus natalis_39.201_NA_-92.177",26,39.201,-92.177,"inferred","Ameiurus","natalis","centroid of Salt River, Lamine River, Missouri, United States",NA,37.9,"tmax",0.44,"SD",7,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ameiurus","natalis","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",60,"Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","Y","","Greenbank, 1956","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","2555","Meyers et al., 2015",NA,NA,26.5348609230735,26.5348609230735
277,"Anguilla australis","Chordata","Teleostei","Anguilliformes","Anguillidae",NA,"Simons 1984","Comte","Anguilla australis_-37.27_NA_174.87",12,-37.27,174.87,"","Anguilla","australis","Lower Waikato River New Zealand",7,33.4,"tmax",1,"SD",13,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Anguilla","australis","6570","Gomon & Bray, 2018","5110","Gomon & Bray, 2018","","100+","IUCN, 2020;Beumer, 1979",130,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.5","Beumer, 1979","Sarah/Nikki","11680","De Magalhães & Costa, 2009",NA,NA,23.2783988259056,23.2783988259056
370,"Carpiodes cyprinus","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Mundahl 1990","Comte","Carpiodes cyprinus_39.97_NA_-82.81",24,39.97,-82.81,"","Carpiodes","cyprinus","Indian Creek Ohio US",NA,38.8,"tmax",0.8,"SD",6,"critical","LOE","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,"complicated migration","Carpiodes","cyprinus","2190","Parker & Franzin, 1991","1460","Parker & Franzin, 1991","","10-100","NatureServe, 2020",45.7,"Parker & Franzin, 1991","44.4-44.9","Parker & Franzin, 1991","40.9-41.3","Parker & Franzin, 1991","","","","migratory","NatureServe, 2020",NA,NA,"","unk","","Azenor/Nikki","4015","Meyers et al., 2015",NA,NA,20.6581103238193,20.6581103238193
371,"Carpiodes cyprinus","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Carpiodes cyprinus_42.08_NA_-81.34",23.3,42.08,-81.34,"","Carpiodes","cyprinus","Lake Erie",NA,37.2,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,"complicated migration","Carpiodes","cyprinus","2190","Parker & Franzin, 1991","1460","Parker & Franzin, 1991","","10-100","NatureServe, 2020",45.7,"Parker & Franzin, 1991","44.4-44.9","Parker & Franzin, 1991","40.9-41.3","Parker & Franzin, 1991","","","","migratory","NatureServe, 2020",NA,NA,"","unk","","Azenor/Nikki","4015","Meyers et al., 2015",NA,NA,24.8923674149947,24.8923674149947
