Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,metric_type,metric_description
Sphaerotrichia,divaricata,30.4,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered
Sphaerotrichia,divaricata,30.6,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered
Sphaerotrichia,divaricata,29.4,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered
Sphaerotrichia,divaricata,30.4,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered
Artemisia,californica,45.2,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Artemisia,californica,48.8,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Artemisia,californica,53.9,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Atriplex,leucophylla,47.3,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Atriplex,leucophylla,48.7,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Atriplex,leucophylla,53.3,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Eriogonum,latifolium,51.4,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Eriogonum,latifolium,53.1,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Eriogonum,latifolium,56.3,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Salvia,leucophylla,45.6,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Salvia,leucophylla,48.3,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Salvia,leucophylla,53,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Artemisia,californica,46.6,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Artemisia,californica,49.7,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Artemisia,californica,53,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Atriplex,hymenelytra,52.6,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Atriplex,hymenelytra,55.7,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Atriplex,hymenelytra,59.7,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Encella,farinosa,49.8,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Encella,farinosa,52.7,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Encella,farinosa,55.8,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Eriodictyon,californicum,45.2,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Eriodictyon,californicum,48.8,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Eriodictyon,californicum,53.9,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Eriogonum,fasciculatum,50.8,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Eriogonum,fasciculatum,53.2,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Eriogonum,fasciculatum,57.5,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Salvia,mohavensis,44.6,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence
Salvia,mohavensis,49.2,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%
Salvia,mohavensis,52.7,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal
Poeciliopsis,occidentalis,39.4,tmax,0.3,CI,critical,Flaring_opercula_(FO)
Poeciliopsis,occidentalis,39.4,tmax,0.3,CI,critical,Death_(DE)
Poeciliopsis,occidentalis,41.5,tmax,0.3,CI,critical,Flaring_opercula_(FO)
Poeciliopsis,occidentalis,42.1,tmax,0.3,CI,critical,Death_(DE)
Poeciliopsis,occidentalis,38.4,tmax,0.4,CI,critical,Initial_loss_of_equilibrium_(ILOE)
Poeciliopsis,occidentalis,38.4,tmax,0.4,CI,critical,Final_loss_of_equilibrium_(FLOE)
Poeciliopsis,occidentalis,41.1,tmax,0.4,CI,critical,Initial_loss_of_equilibrium_(ILOE)
Poeciliopsis,occidentalis,41.3,tmax,0.6,CI,critical,Final_loss_of_equilibrium_(FLOE)
