genus,species,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,acclim_temp,acclim_time,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,latitude,longitude,elevation_of_collection,location_description,ref,life_stage,phylum,class,order,family,realm_specific,realm_general,notes,genus_species,extractor,original_compilation,n_cat,Reference,DOI,Continent,Realm,Number of species with Tmax,Number of species with Tmin
Pacifastacus,leniusculus,4.4,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.3,"NA","NA",25,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,1.8,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.3,"NA","NA",20,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,0.4,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.3,"NA","NA",15,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,3.9,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.1667,"NA","NA",25,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,1.6,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.1667,"NA","NA",20,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,0.2,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.1667,"NA","NA",15,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,3.7,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.0833,"NA","NA",25,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,1.4,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.0833,"NA","NA",20,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,0.1,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.0833,"NA","NA",15,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
Pacifastacus,leniusculus,2.8,tmin,NA,"NA",20,critical,50percent_loss_equilibrium,0.05,"NA","NA",25,2w,held,"NA",46.280449,-119.273682,"NA","Columbia river, Richland Washington",Becker_et_al_1977,adult,Arthropoda,Malacostraca,Decapoda,Astacidae,river,freshwater,NA,Pacifastacus_leniusculus,SO,intratherm_team,NA,"Becker, C., Genoway, R. & Schneider, M. Comparative cold resistance of three Columbia River organisms. Trans. Am. Fish. Soc. 106, 178-184 (1977).",0.1577/1548-8659(1977)106<178:CCROTC>2.0.CO;2,North America,Aquatic,NA,2
