assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
739164,156003,Physella gyrina,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PHYSIDAE,Physella,gyrina,,,,"(Say, 1821)",Least Concern,,3.1,Stable,Global
1110472,166083,Carassius auratus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Carassius,auratus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
1420606,175246,Schoenoplectus tabernaemontani,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Schoenoplectus,tabernaemontani,,,,(C.C. Gmel.) Palla ,Least Concern,,3.1,Stable,Global
1545697,178902,Gibbonsia montereyensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CLINIDAE,Gibbonsia,montereyensis,,,,"Hubbs, 1927",Least Concern,,3.1,Unknown,Global
1547499,178917,Gibbonsia metzi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CLINIDAE,Gibbonsia,metzi,,,,"Hubbs, 1927",Least Concern,,3.1,Unknown,Global
1559519,179015,Heterostichus rostratus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CLINIDAE,Heterostichus,rostratus,,,,"Girard, 1854",Least Concern,,3.1,Unknown,Global
1616281,180331,Mesothuria murrayi,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Mesothuria,murrayi,,,,"(Théel,1886)",Least Concern,,3.1,Unknown,Global
1623312,180381,Pseudostichopus mollis,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Pseudostichopus,mollis,,,,"Théel, 1882",Data Deficient,,3.1,Unknown,Global
1630411,180436,Parastichopus californicus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Parastichopus,californicus,,,,"(Stimpson, 1857)",Least Concern,,3.1,Stable,Global
1631754,180446,Holothuria stocki,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,stocki,,,,"Cherbonnier, 1964",Data Deficient,,3.1,Unknown,Global
1948674,190350,Avocettina infans,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,NEMICHTHYIDAE,Avocettina,infans,,,,"(Günther, 1878)",Least Concern,,3.1,Unknown,Global
2003290,191792,Xiphophorus variatus,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,POECILIIDAE,Xiphophorus,variatus,,,,"(Meek, 1904)",Least Concern,,3.1,Stable,Global
2242484,193533,Acer circinatum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,circinatum,,,,Pursh,Least Concern,,3.1,Stable,Global
2284337,193830,Acer macrophyllum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,macrophyllum,,,,Pursh,Least Concern,,3.1,Unknown,Global
2382480,195488,Squalus suckleyi,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SQUALIDAE,Squalus,suckleyi,,,,"(Girard, 1854)",Least Concern,,3.1,Stable,Global
2553915,199052,Bathycongrus varidens,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,CONGRIDAE,Bathycongrus,varidens,,,,"(Garman, 1899)",Least Concern,,3.1,Unknown,Global
2592235,199408,Xenomystax atrarius,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,CONGRIDAE,Xenomystax,atrarius,,,,"Gilbert, 1891",Least Concern,,3.1,Unknown,Global
2878674,3855,Carcharodon carcharias,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Carcharodon,carcharias,,,,"(Linnaeus, 1758)",Vulnerable,A2bd,3.1,Decreasing,Global
2900765,39339,Alopias vulpinus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ALOPIIDAE,Alopias,vulpinus,,,,"(Bonnaterre, 1788)",Vulnerable,A2bd,3.1,Decreasing,Global
2903170,39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,oxyrinchus,,,,"Rafinesque, 1810",Endangered,A2bd,3.1,Decreasing,Global
2915850,39381,Prionace glauca,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Prionace,glauca,,,,"(Linnaeus, 1758)",Near Threatened,A2bd,3.1,Decreasing,Global
2988471,4292,Cetorhinus maximus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,CETORHINIDAE,Cetorhinus,maximus,,,,"(Gunnerus, 1765)",Endangered,A2bd,3.1,Decreasing,Global
3109321,62192,Catostomus catostomus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CATOSTOMIDAE,Catostomus,catostomus,,,,"(Forster, 1773)",Least Concern,,3.1,Stable,Global
3155348,10030,Hexanchus griseus,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Hexanchus,griseus,,,,"(Bonnaterre, 1788)",Near Threatened,,3.1,Unknown,Global
3292503,11534,Lepidochelys olivacea,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,CHELONIIDAE,Lepidochelys,olivacea,,,,"(Eschscholtz, 1829)",Vulnerable,A2bd,3.1,Decreasing,Global
3324223,12130,Lithasia jayana,ANIMALIA,MOLLUSCA,SORBEOCONCHA,GASTROPODA,PLEUROCERIDAE,Lithasia,jayana,,,,"I. Lea, 1841",Data Deficient,,3.1,Decreasing,Global
3425482,13243,Mesoplodon carlhubbsi,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,carlhubbsi,,,,"Moore, 1963",Data Deficient,,3.1,Unknown,Global
3431272,13252,Mesoplodon stejnegeri,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,stejnegeri,,,,"True, 1885",Data Deficient,,3.1,Unknown,Global
4071001,135301,Oncorhynchus nerka,ANIMALIA,CHORDATA,SALMONIFORMES,ACTINOPTERYGII,SALMONIDAE,Oncorhynchus,nerka,,,,"(Walbaum, 1792)",Least Concern,,3.1,Stable,Global
4516675,153538,Zostera marina,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Zostera,marina,,,,L.,Least Concern,,3.1,Decreasing,Global
4523609,153634,Cherax cainii,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PARASTACIDAE,Cherax,cainii,,,,"Austin and Ryan, 2002",Least Concern,,3.1,Unknown,Global
4526314,153648,Pacifastacus leniusculus,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ASTACIDAE,Pacifastacus,leniusculus,,,,"(Dana, 1852)",Least Concern,,3.1,Unknown,Global
4538132,153735,Pacifastacus gambelii,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ASTACIDAE,Pacifastacus,gambelii,,,,"(Girard, 1852)",Least Concern,,3.1,Unknown,Global
4641606,154820,Alepisaurus ferox,ANIMALIA,CHORDATA,AULOPIFORMES,ACTINOPTERYGII,ALEPISAURIDAE,Alepisaurus,ferox,,,,"Lowe, 1833",Least Concern,,3.1,Unknown,Global
4701018,155094,Clinocottus globiceps,ANIMALIA,CHORDATA,SCORPAENIFORMES,ACTINOPTERYGII,COTTIDAE,Clinocottus,globiceps,,,,"(Girard, 1858)",Least Concern,,3.1,Unknown,Global
5416294,161403,Somniosus pacificus,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SOMNIOSIDAE,Somniosus,pacificus,,,,"Bigelow &amp; Schroeder, 1944",Data Deficient,,3.1,Unknown,Global
5505853,161864,Marsilea quadrifolia,PLANTAE,TRACHEOPHYTA,SALVINIALES,POLYPODIOPSIDA,MARSILEACEAE,Marsilea,quadrifolia,,,,L.,Least Concern,,3.1,Unknown,Global
5681486,163984,Juncus articulatus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,JUNCACEAE,Juncus,articulatus,,,,L.,Least Concern,,3.1,Stable,Global
5772487,164199,Typha angustifolia,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,TYPHACEAE,Typha,angustifolia,,,,L.,Least Concern,,3.1,Unknown,Global
6261849,166694,Pila globosa,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,AMPULLARIIDAE,Pila,globosa,,,,"(Swainson, 1822)",Least Concern,,3.1,Unknown,Global
6407237,167890,Nymphaea tetragona,PLANTAE,TRACHEOPHYTA,NYMPHAEALES,MAGNOLIOPSIDA,NYMPHAEACEAE,Nymphaea,tetragona,,,,Georgi,Least Concern,,3.1,Unknown,Global
6411823,167905,Potamogeton obtusifolius,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,POTAMOGETONACEAE,Potamogeton,obtusifolius,,,,Mert. &amp; W.D.J.Koch,Least Concern,,3.1,Stable,Global
6417775,167926,Sparganium emersum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,TYPHACEAE,Sparganium,emersum,,,,Rehmann,Least Concern,,3.1,Stable,Global
6527440,168695,Lemna perpusilla,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Lemna,perpusilla,,,,Torr.,Least Concern,,3.1,Unknown,Global
6545066,168882,Hygrophila pinnatifida,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,ACANTHACEAE,Hygrophila,pinnatifida,,,,(Dalzell) Sreem.,Least Concern,,3.1,Unknown,Global
6559440,168991,Landoltia punctata,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Landoltia,punctata,,,,(G.Mey.) Les &amp; D.J.Crawford,Least Concern,,3.1,Unknown,Global
6566565,169039,Nechamandra alternifolia,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Nechamandra,alternifolia,,,,(Roxb. ex Wight) Thwaites,Least Concern,,3.1,Unknown,Global
6734992,17027,Phocoena phocoena,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,PHOCOENIDAE,Phocoena,phocoena,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
6737373,170306,Scomber japonicus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Scomber,japonicus,,,,"Houttuyn, 1782",Least Concern,,3.1,Stable,Global
6739812,170310,Katsuwonus pelamis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Katsuwonus,pelamis,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
6763952,170352,Sarda chiliensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Sarda,chiliensis,,,,"(Cuvier, 1832)",Least Concern,,3.1,Decreasing,Global
6990381,173320,Phyllospadix torreyi,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Phyllospadix,torreyi,,,,S.Watson,Least Concern,,3.1,Stable,Global
6996472,173348,Zostera japonica,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Zostera,japonica,,,,Asch. &amp; Graebn.,Least Concern,,3.1,Increasing,Global
7000590,173366,Phyllospadix serrulatus,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Phyllospadix,serrulatus,,,,Rupr. ex Asch.,Least Concern,,3.1,Stable,Global
7000726,173367,Phyllospadix scouleri,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Phyllospadix,scouleri,,,,Hook.,Least Concern,,3.1,Stable,Global
7002177,173373,Zostera pacifica,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ZOSTERACEAE,Zostera,pacifica,,,,S.Watson,Least Concern,,3.1,Unknown,Global
